"hf","hm","C","dStar","r","k","sf","sm","F.11","F.12","F.13","F.14","F.22","F.23","F.24","F.33","F.34","F.44","G.11","G.12","G.13","G.14","G.22","G.23","G.24","G.33","G.34","G.44","qHat","ZHat"
0.5,0.5,0.45,0.62,0.02,1.5,0.0705735706560593,0.112,0.54095,0.090489,0,9e-06,0,0,0,0,0,0,0.368552,0,0,0,0,0,0,0,0,0,0.500000000000002,0.117303609341826
0.5,0.5,0.5,0.6,0.02,1.5,0.0638103919781222,0.112,0.5,0.083323,0,9e-06,0,0,0,0,0,0,0.416668,0,0,0,0,0,0,0,0,0,0.5,0.111111111111111
0.5,0.5,0.55,0.58,0.02,1.5,0.0568766589025513,0.112,0.457663,0.076618,0,1e-05,0,0,0,0,0,0,0.465709,0,0,0,0,0,0,0,0,0,0.499999999999999,0.104988399071926
0.5,0.5,0.6,0.56,0.02,1.5,0.049864653084485,0.112,0.414087,0.070433,1e-06,1.1e-05,0,0,0,0,0,0,0.515466,0,1e-06,0,0,0,0,1e-06,0,0,0.499999999999999,0.0990338164251207
0.5,0.5,0.65,0.54,0.02,1.5,0.0428643910632119,0.112,0.369449,0.064824,1e-06,1.2e-05,0,0,0,0,0,0,0.565712,0,1e-06,0,0,0,0,1e-06,0,0,0.500000000000003,0.093358395989975
0.5,0.5,0.7,0.52,0.02,1.5,0.0359601356210829,0.112,0.323941,0.059843,1e-06,1.3e-05,0,0,0,0,0,0,0.6162,0,1e-06,0,0,0,0,1e-06,0,0,0.499999999999999,0.0880829015544042
0.5,0.5,0.75,0.5,0.02,1.5,0.0292275574112735,0.112,0.277775,0.055539,1e-06,1.4e-05,0,0,0,0,0,0,0.666669,0,1e-06,0,0,0,0,1e-06,0,0,0.500000000000002,0.0833333333333333
0.5,0.5,0.8,0.48,0.02,1.5,0.0227317009807105,0.112,0.23118,0.051953,1e-06,1.6e-05,0,0,0,0,0,0,0.716847,0,1e-06,0,0,0,0,2e-06,0,0,0.500000000000003,0.0792349726775957
0.5,0.5,0.85,0.46,0.02,1.5,0.0165258038623164,0.112,0.184397,0.049124,1e-06,1.7e-05,0,0,0,0,0,0,0.766457,0,1e-06,0,0,0,0,3e-06,0,0,0.5,0.0759052924791086
0.5,0.5,0.9,0.44,0.02,1.5,0.0106509235872311,0.112,0.137677,0.047079,1e-06,1.9e-05,0,0,0,0,0,0,0.815219,0,1e-06,0,0,0,0,4e-06,0,0,0.499999999999994,0.0734463276836157
0.5,0.5,0,0.8,0.02,1.1,0.112,0.112,0.954534,0.04546,1e-06,6e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0454545454545455
0.5,0.5,0.05,0.78,0.02,1.1,0.109603942445569,0.112,0.912001,0.042215,1e-06,6e-06,0,0,0,0,0,0,0.045778,0,0,0,0,0,0,0,0,0,0.5,0.0437713634637296
0.5,0.5,0.1,0.76,0.02,1.1,0.106631461358789,0.112,0.86872,0.039093,1e-06,6e-06,0,0,0,0,0,0,0.09218,0,0,0,0,0,0,0,0,0,0.5,0.04203013481364
