C,delta,k,r,sf,sm,EqInvEig,EqInvEigNM,DiffEQInvEig
0.75,0.2,0.77,0,0.06689410454367939,0.35877501889988017,2,0,2
0.75,0.2,0.77,0,0.08605242904540789,0.3635773315889653,3,1,2
0.75,0.2,0.77,0,0.06768061816882753,0.3667778505189948,2,0,2
0.75,0.2,0.77,0,0.07323222998654977,0.43185654301349197,2,0,2
0.75,0.2,0.77,0,0.06153273920121527,0.3534002210792737,2,0,2
0.75,0.2,0.77,0,0.051193718106132935,0.33595092051554387,2,0,2
0.75,0.2,0.77,0,0.09178328289282911,0.4777041007584981,2,0,2
0.75,0.2,0.77,0,0.09637748090294829,0.43427463253604925,2,0,2
0.75,0.2,0.77,0,0.08042793798998349,0.42698093623392985,2,0,2
0.75,0.2,0.77,0,0.11953205023665114,0.4487728795271655,3,1,2
0.75,0.2,0.77,0,0.13935056739816376,0.485862737012256,3,1,2
0.75,0.2,0.77,0,0.08793862056791935,0.3944522488226079,2,0,2
0.75,0.2,0.77,0,0.05256752658875896,0.26562095715964007,2,0,2
0.75,0.2,0.77,0,0.11505002435352185,0.42258404539561034,3,1,2
0.75,0.2,0.77,0,0.01865463730768291,0.17234542817906673,3,1,2
0.75,0.2,0.77,0,0.05587508161735166,0.3084377047433028,2,0,2
0.75,0.2,0.77,0,0.08164578987720117,0.3174470852551323,3,1,2
0.75,0.2,0.77,0,0.08174275941680931,0.4175443752822873,2,0,2
0.75,0.2,0.77,0,0.06585928351205483,0.367171045768404,2,0,2
0.75,0.2,0.77,0,0.11535976245381896,0.49234670873933695,3,1,2
0.75,0.2,0.77,0,0.0871914451342064,0.333269217957768,3,1,2
0.75,0.2,0.77,0,0.11891385750303796,0.4654887473145852,3,1,2
0.75,0.2,0.77,0,0.10061014182039574,0.352180379926633,3,1,2
0.75,0.2,0.77,0,0.10709187672973752,0.4307391406591161,3,1,2
0.75,0.2,0.77,0,0.09009168206038198,0.4871796095858618,2,0,2
0.75,0.2,0.77,0,0.09733879995753547,0.4792458888867356,2,0,2
0.75,0.2,0.77,0,0.06237446840676941,0.3530883286890387,2,0,2
0.75,0.2,0.77,0,0.07425408365867314,0.2960137152611454,3,1,2
0.75,0.2,0.77,0,0.09079079749522168,0.4894082103207408,2,0,2
0.75,0.2,0.77,0,0.1264038790067431,0.4484366165419619,3,1,2
0.75,0.2,0.77,0,0.09988274102717276,0.409579966934586,3,1,2
0.75,0.2,0.77,0,0.08224639718891424,0.3144183326755823,3,1,2
0.75,0.2,0.77,0,0.032743562426872264,0.3024836737578508,3,1,2
0.75,0.2,0.77,0,0.008212176970243679,0.06578902887153726,3,1,2
0.75,0.2,0.77,0,0.030804151996522755,0.27638527092267384,3,1,2
0.75,0.2,0.77,0,0.06935991747934,0.47445187577566783,2,0,2
0.75,0.2,0.77,0,0.058978693052845865,0.22905359549634252,3,1,2
0.75,0.2,0.77,0,0.033909239082332565,0.21685376958316716,2,0,2
