C,delta,k,r,sf,sm,EqInvEig,EqInvEigNM,DiffEQInvEig
0.25,0.8,0.606,0.,0.8357965900753248,0.9338179185385997,0,0,0
0.25,0.8,0.606,0.,0.6735125951790071,0.44224032101567423,1,0,1
0.25,0.8,0.606,0.,0.8758276476105691,0.8940218298989688,0,0,0
0.25,0.8,0.606,0.,0.33884504615598665,0.4595839380361295,0,0,0
0.25,0.8,0.606,0.,0.5937275267752329,0.5785740136739235,0,0,0
0.25,0.8,0.606,0.,0.7857991567042981,0.6477138537330756,1,0,1
0.25,0.8,0.606,0.,0.705694196272779,0.7805531079302419,0,0,0
0.25,0.8,0.606,0.,0.9019370490631169,0.6740915510620566,1,0,1
0.25,0.8,0.606,0.,0.8124338732068908,0.9159271409187606,0,0,0
0.25,0.8,0.606,0.,0.7001070599981112,0.7232958546193684,0,0,0
0.25,0.8,0.606,0.,0.5806591240879033,0.8828127195753317,0,0,0
0.25,0.8,0.606,0.,0.7308302370329656,0.8615776304424536,0,0,0
0.25,0.8,0.606,0.,0.926918536639848,0.8086417260659846,1,0,1
0.25,0.8,0.606,0.,0.469758401504933,0.3652525511206328,0,0,0
0.25,0.8,0.606,0.,0.4109249778175861,0.7079753524517334,0,0,0
0.25,0.8,0.606,0.,0.5710659512307705,0.8091458348097245,0,0,0
0.25,0.8,0.606,0.,0.797954005725583,0.6577960354027759,1,0,1
0.25,0.8,0.606,0.,0.4352489929709502,0.5391891905528425,0,0,0
0.25,0.8,0.606,0.,0.834665404904503,0.628691042939973,1,0,1
0.25,0.8,0.606,0.,0.7521636169431067,0.9447548436346582,0,0,0
0.25,0.8,0.606,0.,0.6797072952369669,0.8178062158891235,0,0,0
0.25,0.8,0.606,0.,0.6326895448429457,0.8454633460208327,0,0,0
0.25,0.8,0.606,0.,0.9884989323185995,0.6586985520093318,1,0,1
0.25,0.8,0.606,0.,0.4039459952577915,0.5920762954556178,0,0,0
0.25,0.8,0.606,0.,0.5670141838566163,0.5747376116682272,0,0,0
0.25,0.8,0.606,0.,0.6308861868063178,0.9191722890956284,0,0,0
0.25,0.8,0.606,0.,0.42639750345026894,0.6595843807154198,0,0,0
0.25,0.8,0.606,0.,0.7739773510059824,0.778466849342313,0,0,0
0.25,0.8,0.606,0.,0.4266792764346117,0.4482992184851584,0,0,0
0.25,0.8,0.606,0.,0.37880520578555976,0.6799337915799679,0,0,0
0.25,0.8,0.606,0.,0.6151711913129689,0.8867233957265226,0,0,0
