C,delta,k,r,sm,sf,EqInvEig,EqInvEigNM,DiffEQInvEig
0.75,0.2,6.38,0,0.072141862,0.479718322,2,0,2
0.75,0.2,6.38,0,0.046413534,0.379427748,3,1,2
0.75,0.2,6.38,0,0.007860661,0.073007035,3,1,2
0.75,0.2,6.38,0,0.081151642,0.489700282,1,0,1
0.75,0.2,6.38,0,0.103274085,0.459770485,3,1,2
0.75,0.2,6.38,0,0.057929645,0.365092709,2,0,2
0.75,0.2,6.38,0,0.084339942,0.351140996,3,1,2
0.75,0.2,6.38,0,0.051436931,0.253648675,2,0,2
0.75,0.2,6.38,0,0.122758949,0.483172115,3,1,2
0.75,0.2,6.38,0,0.063427989,0.278835599,3,1,2
0.75,0.2,6.38,0,0.117925352,0.422664846,3,1,2
0.75,0.2,6.38,0,0.014780919,0.095014266,2,0,2
0.75,0.2,6.38,0,0.03914885,0.323979043,3,1,2
0.75,0.2,6.38,0,0.03558231,0.127114658,3,1,2
0.75,0.2,6.38,0,0.061802518,0.426041346,2,0,2
0.75,0.2,6.38,0,0.044034698,0.182159055,3,1,2
0.75,0.2,6.38,0,0.018229499,0.110373695,2,0,2
0.75,0.2,6.38,0,0.063194939,0.477983606,3,1,2
0.75,0.2,6.38,0,0.088251918,0.420606531,2,0,2
0.75,0.2,6.38,0,0.08480493,0.412100166,2,0,2
0.75,0.2,6.38,0,0.086477393,0.316986407,3,1,2
0.75,0.2,6.38,0,0.030451599,0.268831366,3,1,2
0.75,0.2,6.38,0,0.035012474,0.197545082,2,0,2
0.75,0.2,6.38,0,0.059103457,0.394267215,2,0,2
0.75,0.2,6.38,0,0.012006423,0.102487658,3,1,2
0.75,0.2,6.38,0,0.075227904,0.437771579,2,0,2
0.75,0.2,6.38,0,0.085166735,0.418850923,2,0,2
0.75,0.2,6.38,0,0.124542625,0.470908971,3,1,2
0.75,0.2,6.38,0,0.051996574,0.295023846,2,0,2
0.75,0.2,6.38,0,0.016747445,0.141015253,3,1,2
0.75,0.2,6.38,0,0.102789195,0.4544741,3,1,2
0.75,0.2,6.38,0,0.032230323,0.130762942,3,1,2
0.75,0.2,6.38,0,0.086918828,0.491710137,2,0,2
0.75,0.2,6.38,0,0.13070884,0.473188273,3,1,2
0.75,0.2,6.38,0,0.065926589,0.493867512,2,0,2
0.75,0.2,6.38,0,0.118706995,0.415903078,3,1,2
0.75,0.2,6.38,0,0.043475791,0.303941179,2,0,2
0.75,0.2,6.38,0,0.004859421,0.02360832,2,0,2
0.75,0.2,6.38,0,0.015370414,0.067321419,3,1,2
0.75,0.2,6.38,0,0.021879007,0.150518391,2,0,2
0.75,0.2,6.38,0,0.00390078,0.035857212,3,1,2
0.75,0.2,6.38,0,0.072731799,0.460417673,2,0,2
0.75,0.2,6.38,0,0.109906123,0.43017929,3,1,2
0.75,0.2,6.38,0,0.018641747,0.099139116,2,0,2
0.75,0.2,6.38,0,0.066129804,0.377614569,2,0,2
0.75,0.2,6.38,0,0.033055838,0.124180839,3,1,2
0.75,0.2,6.38,0,0.019143784,0.179339391,3,1,2
0.75,0.2,6.38,0,0.050577242,0.243176314,2,0,2
0.75,0.2,6.38,0,0.033923441,0.226537475,2,0,2
0.75,0.2,6.38,0,0.088273598,0.492562889,2,0,2
0.75,0.2,6.38,0,0.070507799,0.325433081,2,0,2
0.75,0.2,6.38,0,0.102892972,0.423727706,3,1,2
0.75,0.2,6.38,0,0.062760031,0.496862695,3,1,2
0.75,0.2,6.38,0,0.097695761,0.475153652,2,0,2
0.75,0.2,6.38,0,0.033601482,0.204040639,2,0,2
0.75,0.2,6.38,0,0.071647259,0.255814398,3,1,2
0.75,0.2,6.38,0,0.057821178,0.463180783,3,1,2
0.75,0.2,6.38,0,0.103022536,0.463244232,2,0,2
0.75,0.2,6.38,0,0.114979745,0.482156045,3,1,2
0.75,0.2,6.38,0,0.047305524,0.17869796,3,1,2
0.75,0.2,6.38,0,0.065921042,0.39762912,2,0,2
0.75,0.2,6.38,0,0.065545858,0.39277479,2,0,2
0.75,0.2,6.38,0,0.021449695,0.181334981,3,1,2
0.75,0.2,6.38,0,0.094430804,0.343369574,3,1,2
0.75,0.2,6.38,0,0.048235755,0.17604081,3,1,2
0.75,0.2,6.38,0,0.038519976,0.276101681,2,0,2
0.75,0.2,6.38,0,0.049935872,0.187486438,3,1,2
0.75,0.2,6.38,0,0.114099149,0.488627774,3,1,2
0.75,0.2,6.38,0,0.078571067,0.410602902,2,0,2
0.75,0.2,6.38,0,0.059867038,0.340648032,2,0,2
0.75,0.2,6.38,0,0.093351573,0.435405923,2,0,2
0.75,0.2,6.38,0,0.056755577,0.355099498,2,0,2
0.75,0.2,6.38,0,0.058560314,0.27655349,2,0,2
0.75,0.2,6.38,0,0.072260599,0.305127549,3,1,2
0.75,0.2,6.38,0,0.048058248,0.332112698,2,0,2
0.75,0.2,6.38,0,0.019635213,0.169158379,3,1,2
0.75,0.2,6.38,0,0.045087012,0.347772525,3,1,2
0.75,0.2,6.38,0,0.078471383,0.403432556,2,0,2
0.75,0.2,6.38,0,0.070232405,0.424354226,2,0,2
0.75,0.2,6.38,0,0.066064672,0.242195133,3,1,2
0.75,0.2,6.38,0,0.063682511,0.399263775,2,0,2
0.75,0.2,6.38,0,0.043768272,0.159460938,3,1,2
0.75,0.2,6.38,0,0.01445963,0.128334387,3,1,2
0.75,0.2,6.38,0,0.065747467,0.313385991,2,0,2
0.75,0.2,6.38,0,0.06898839,0.267245793,3,1,2
0.75,0.2,6.38,0,0.135466693,0.499500819,3,1,2
0.75,0.2,6.38,0,0.070529434,0.250053374,3,1,2
0.75,0.2,6.38,0,0.061535897,0.367794374,2,0,2
0.75,0.2,6.38,0,0.065847193,0.340575624,2,0,2
0.75,0.2,6.38,0,0.011618397,0.071211072,2,0,2
0.75,0.2,6.38,0,0.087612206,0.334644883,3,1,2
0.75,0.2,6.38,0,0.037056577,0.150621288,3,1,2
0.75,0.2,6.38,0,0.093824388,0.332847834,3,1,2
0.75,0.2,6.38,0,0.036360273,0.277195335,3,1,2
0.75,0.2,6.38,0,0.062674886,0.390144064,2,0,2
0.75,0.2,6.38,0,0.053459572,0.48147652,3,1,2
0.75,0.2,6.38,0,0.128216295,0.471924923,3,1,2
0.75,0.2,6.38,0,0.019360322,0.170911512,3,1,2
0.75,0.2,6.38,0,0.069334823,0.307236218,3,1,2
0.75,0.2,6.38,0,0.070468316,0.45408387,2,0,2
0.75,0.2,6.38,0,0.017996089,0.149499196,3,1,2
0.75,0.2,6.38,0,0.089752854,0.464799454,2,0,2
0.75,0.2,6.38,0,0.03059903,0.2691216,3,1,2
0.75,0.2,6.38,0,0.01340683,0.048837702,3,1,2
0.75,0.2,6.38,0,0.076130438,0.452004936,2,0,2
0.75,0.2,6.38,0,0.078070453,0.391409688,2,0,2
0.75,0.2,6.38,0,0.039233136,0.184779192,2,0,2
0.75,0.2,6.38,0,0.051754596,0.294727434,2,0,2
0.75,0.2,6.38,0,0.057671737,0.344726561,2,0,2
0.75,0.2,6.38,0,0.043588825,0.26602785,2,0,2
0.75,0.2,6.38,0,0.035606819,0.233412835,2,0,2
0.75,0.2,6.38,0,0.06943495,0.272871774,3,1,2
0.75,0.2,6.38,0,0.050867035,0.430034986,3,1,2
0.75,0.2,6.38,0,0.040459225,0.187395559,2,0,2
0.75,0.2,6.38,0,0.075244126,0.284009739,3,1,2
0.75,0.2,6.38,0,0.10109516,0.473052814,2,0,2
0.75,0.2,6.38,0,0.039279607,0.206924309,2,0,2
0.75,0.2,6.38,0,0.032293503,0.241213669,3,1,2
0.75,0.2,6.38,0,0.068993585,0.27040336,3,1,2
0.75,0.2,6.38,0,0.061825725,0.240060841,3,1,2
0.75,0.2,6.38,0,0.096583829,0.35905336,3,1,2
0.75,0.2,6.38,0,0.059958884,0.409438151,2,0,2
0.75,0.2,6.38,0,0.063999446,0.447306779,2,0,2
0.75,0.2,6.38,0,0.092542853,0.344272889,3,1,2
0.75,0.2,6.38,0,0.070850202,0.494482041,2,0,2
0.75,0.2,6.38,0,0.077149585,0.422514861,2,0,2
0.75,0.2,6.38,0,0.078889502,0.478327491,2,0,2
0.75,0.2,6.38,0,0.070796141,0.284071613,3,1,2
